答卷编号,Q1_性别,Q2_您所在的城市是_省份,Q2_您所在的城市是_城市,Q2_您所在的城市是_区/县,Q3_工作年限,Q4_个人月收入,Q5_基础设施建设,"Q6_生态环境(包括城市绿化,城市景观生态文明等)",Q7_治安环境,Q8_产业发展,Q9_企业条件,Q10_职业发展,Q11_收入水平,Q12_住房条件,Q13_户籍政策,Q14_配偶就业,Q15_子女教育,Q16_生活成本,Q17_交通状态,Q18_休闲娱乐,Q19_请问您的主要职业或者毕业之后将要成为的主要职业是什么,Q20_请问你觉得济南这座城市对您是否有吸引力呢
30,男,山东省,滨州市,滨城区,1年及以下,2000元及以下,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,教育科研,有较强的吸引力
31,男,山东省,菏泽市,曹县,4-5年,2001-3000元,比较能够,非常能够,非常能够,非常能够,一般,一般,一般,一般,一般,比较能够,非常能够,比较能够,一般,比较能够,管理人员,一般
32,男,山东省,济南市,天桥区,1年及以下,2000元及以下,比较能够,非常能够,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,管理人员,一般
33,男,山东省,济南市,天桥区,1年及以下,2000元及以下,比较能够,比较能够,比较能够,非常能够,比较能够,非常能够,非常能够,非常能够,比较能够,比较能够,非常能够,比较能够,比较能够,比较能够,技术研发人才,一般
34,男,北京市,北京市,海淀区,1年及以下,5001-8000元,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,一般,一般,一般,一般,一般,一般,一般,技术研发人才,不作考虑
35,女,山东省,济南市,市中区,10年及以上,5001-8000元,比较能够,一般,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,非常能够,非常能够,非常能够,比较能够,非常能够,非常能够,其他,有较强的吸引力
36,男,山东省,济南市,天桥区,1年及以下,2000元及以下,一般,比较能够,非常能够,非常能够,比较能够,非常能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,一般,一般,技术研发人才,有较强的吸引力
37,男,北京市,北京市,朝阳区,4-5年,8001-12000元,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,技术研发人才,不作考虑
38,女,北京市,北京市,东城区,1年及以下,3001-5000元,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,技术研发人才,有较强的吸引力
39,男,山东省,济南市,历下区,1年及以下,5001-8000元,不能够,不能够,比较能够,比较能够,一般,非常能够,比较能够,一般,非常能够,非常能够,一般,非常能够,不能够,一般,金融从业者,一般
