答卷编号,Q1_性别,Q2_您所在的城市是_省份,Q2_您所在的城市是_城市,Q2_您所在的城市是_区/县,Q3_工作年限,Q4_个人月收入,Q5_基础设施建设,"Q6_生态环境(包括城市绿化,城市景观生态文明等)",Q7_治安环境,Q8_产业发展,Q9_企业条件,Q10_职业发展,Q11_收入水平,Q12_住房条件,Q13_户籍政策,Q14_配偶就业,Q15_子女教育,Q16_生活成本,Q17_交通状态,Q18_休闲娱乐,Q19_请问您的主要职业或者毕业之后将要成为的主要职业是什么,Q20_请问你觉得济南这座城市对您是否有吸引力呢
126,男,山东省,济南市,槐荫区,4-5年,5001-8000元,比较能够,比较能够,比较能够,比较能够,比较能够,非常能够,比较能够,非常能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,技术研发人才,有较强的吸引力
127,男,山东省,济南市,历下区,10年及以上,20000元以上,一般,一般,比较能够,不能够,一般,一般,非常能够,非常能够,非常能够,一般,比较能够,比较能够,一般,比较能够,管理人员,一般
128,男,上海市,上海市,浦东新区,2-3年,3001-5000元,不能够,一般,非常能够,比较能够,比较能够,比较能够,比较能够,一般,比较能够,一般,一般,比较能够,一般,一般,其他,不作考虑
129,女,上海市,上海市,杨浦区,1年及以下,5001-8000元,比较能够,不能够,一般,比较能够,比较能够,比较能够,比较能够,一般,一般,一般,比较能够,一般,一般,一般,医疗,一般
130,男,山东省,济南市,天桥区,1年及以下,2000元及以下,不能够,比较能够,比较能够,一般,一般,一般,比较能够,一般,一般,不能够,比较能够,不能够,不能够,比较能够,其他,有较强的吸引力
131,女,山东省,淄博市,张店区,1年及以下,2001-3000元,非常能够,非常能够,比较能够,一般,比较能够,非常能够,非常能够,非常能够,比较能够,一般,比较能够,一般,非常能够,一般,金融从业者,很不喜欢
132,女,上海市,上海市,徐汇区,1年及以下,2000元及以下,一般,一般,比较能够,不能够,一般,一般,不能够,比较能够,不能够,一般,一般,非常能够,非常能够,比较能够,医疗,不作考虑
133,男,河北省,唐山市,古冶区,4-5年,8001-12000元,比较能够,非常能够,非常能够,非常能够,非常能够,比较能够,比较能够,一般,比较能够,非常能够,比较能够,比较能够,比较能够,非常能够,管理人员,有较强的吸引力
134,男,山东省,济南市,天桥区,10年及以上,20000元以上,非常能够,非常能够,比较能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,非常能够,比较能够,比较能够,技工人才,不二选择
135,男,四川省,宜宾市,宜宾县,1年及以下,2000元及以下,不能够,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,其他,不作考虑
136,女,辽宁省,鞍山市,铁东区,2-3年,2001-3000元,比较能够,比较能够,比较能够,比较能够,比较能够,非常能够,非常能够,比较能够,比较能够,一般,非常能够,比较能够,比较能够,比较能够,技工人才,一般
137,女,山东省,济南市,历下区,4-5年,8001-12000元,一般,一般,比较能够,一般,一般,一般,一般,比较能够,一般,一般,一般,比较能够,一般,一般,技术研发人才,一般
138,男,河北省,秦皇岛市,北戴河区,4-5年,3001-5000元,比较能够,比较能够,比较能够,非常能够,比较能够,一般,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,教育科研,一般
139,女,北京市,北京市,西城区,1年及以下,2000元及以下,非常能够,比较能够,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,其他,不二选择
140,男,四川省,雅安市,雨城区,1年及以下,8001-12000元,一般,比较能够,比较能够,比较能够,非常能够,非常能够,非常能够,比较能够,一般,一般,比较能够,比较能够,比较能够,比较能够,技术研发人才,不作考虑
141,男,山东省,菏泽市,牡丹区,2-3年,2001-3000元,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,一般,一般,一般,比较能够,比较能够,比较能够,比较能够,医疗,有较强的吸引力
143,女,辽宁省,沈阳市,和平区,1年及以下,2000元及以下,比较能够,比较能够,非常能够,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,医疗,有较强的吸引力
144,女,山东省,济南市,市中区,1年及以下,2000元及以下,比较能够,非常能够,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,比较能够,比较能够,比较能够,比较能够,不能够,比较能够,医疗,有较强的吸引力
145,女,山东省,济南市,历下区,1年及以下,20000元以上,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,管理人员,有较强的吸引力
146,女,山东省,济南市,历下区,1年及以下,2000元及以下,比较能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,非常能够,非常能够,比较能够,非常能够,管理人员,有较强的吸引力
147,女,山东省,淄博市,张店区,1年及以下,2000元及以下,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,其他,一般
148,女,山东省,济南市,历下区,1年及以下,2000元及以下,比较能够,非常能够,非常能够,一般,一般,非常能够,比较能够,比较能够,一般,一般,非常能够,非常能够,比较能够,一般,教育科研,一般
149,女,山东省,潍坊市,诸城市,1年及以下,2000元及以下,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,管理人员,不二选择
150,女,山东省,济南市,历城区,1年及以下,2000元及以下,不能够,一般,一般,一般,比较能够,比较能够,一般,比较能够,一般,比较能够,比较能够,比较能够,非常能够,比较能够,技工人才,一般
151,女,山东省,济南市,历城区,1年及以下,2000元及以下,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,管理人员,有较强的吸引力
152,女,山东省,济南市,历下区,1年及以下,3001-5000元,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,不能够,一般,教育科研,一般
153,男,山东省,济南市,历下区,10年及以上,20000元以上,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,非常能够,比较能够,其他,一般
154,男,黑龙江省,哈尔滨市,南岗区,1年及以下,2000元及以下,一般,一般,一般,一般,一般,一般,一般,一般,比较能够,一般,一般,一般,一般,一般,教育科研,一般
155,男,山东省,济南市,历下区,1年及以下,2000元及以下,一般,比较能够,非常能够,非常能够,比较能够,比较能够,一般,一般,比较能够,一般,比较能够,非常能够,比较能够,非常能够,金融从业者,有较强的吸引力
156,男,山东省,济南市,章丘市,1年及以下,2000元及以下,非常能够,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,管理人员,一般
157,男,山东省,济南市,平阴县,1年及以下,2000元及以下,一般,一般,非常能够,比较能够,一般,比较能够,非常能够,比较能够,不能够,一般,不能够,比较能够,不能够,比较能够,技术研发人才,一般
158,男,山东省,济南市,历下区,4-5年,12001-20000元,不能够,不能够,不能够,不能够,不能够,一般,一般,一般,一般,一般,比较能够,比较能够,不能够,一般,管理人员,不二选择
159,男,山东省,济南市,市中区,4-5年,8001-12000元,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,不能够,非常能够,非常能够,非常能够,非常能够,比较能够,技术研发人才,一般
160,男,北京市,北京市,丰台区,6-9年,20000元以上,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,金融从业者,很不喜欢
161,男,山东省,济南市,历下区,4-5年,5001-8000元,一般,一般,非常能够,比较能够,一般,不能够,一般,不能够,不能够,比较能够,一般,一般,不能够,一般,技术研发人才,不作考虑
162,男,山东省,济南市,商河县,6-9年,20000元以上,不能够,非常能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,非常能够,比较能够,医疗,有较强的吸引力
163,男,河北省,秦皇岛市,山海关区,4-5年,3001-5000元,比较能够,比较能够,比较能够,非常能够,一般,一般,非常能够,比较能够,比较能够,比较能够,非常能够,非常能够,比较能够,一般,教育科研,有较强的吸引力
164,男,山东省,济南市,历城区,1年及以下,2001-3000元,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,技工人才,一般
165,男,辽宁省,鞍山市,铁西区,2-3年,3001-5000元,比较能够,比较能够,比较能够,非常能够,比较能够,非常能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,管理人员,不二选择
166,男,河北省,秦皇岛市,山海关区,2-3年,2000元及以下,比较能够,比较能够,比较能够,比较能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,非常能够,比较能够,非常能够,技工人才,不二选择
167,男,山东省,济南市,历下区,6-9年,20000元以上,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,金融从业者,不二选择
168,男,山东省,枣庄市,峄城区,2-3年,2001-3000元,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,技术研发人才,不二选择
169,男,山东省,济南市,市中区,2-3年,12001-20000元,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,技术研发人才,不二选择
170,男,山东省,济南市,市中区,1年及以下,2000元及以下,一般,一般,一般,比较能够,比较能够,一般,一般,一般,一般,一般,一般,一般,一般,一般,技术研发人才,一般
171,女,山东省,济南市,天桥区,4-5年,3001-5000元,一般,一般,非常能够,非常能够,一般,一般,一般,一般,非常能够,一般,一般,非常能够,比较能够,非常能够,销售人才,有较强的吸引力
172,男,内蒙古自治区,鄂尔多斯市,杭锦旗,2-3年,2001-3000元,比较能够,比较能够,比较能够,非常能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,教育科研,不二选择
173,男,山东省,济南市,历城区,6-9年,20000元以上,非常能够,非常能够,非常能够,非常能够,比较能够,非常能够,比较能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,非常能够,管理人员,不二选择
174,女,吉林省,长春市,南关区,1年及以下,2000元及以下,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,技术研发人才,一般
175,男,山西省,阳泉市,郊区,1年及以下,2000元及以下,比较能够,比较能够,比较能够,比较能够,比较能够,非常能够,非常能够,非常能够,一般,一般,比较能够,比较能够,不能够,一般,服务售后,有较强的吸引力
176,男,湖北省,武汉市,青山区,1年及以下,2000元及以下,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,一般,比较能够,不能够,一般,教育科研,不作考虑
177,女,山东省,济南市,历城区,1年及以下,2000元及以下,一般,一般,不能够,比较能够,比较能够,比较能够,比较能够,一般,比较能够,比较能够,一般,比较能够,不能够,比较能够,教育科研,一般
178,男,山东省,济南市,历下区,1年及以下,2000元及以下,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,一般,比较能够,技术研发人才,有较强的吸引力
179,男,山东省,济南市,历下区,10年及以上,5001-8000元,一般,一般,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,一般,比较能够,比较能够,非常能够,比较能够,不能够,技工人才,一般
180,女,山东省,济南市,天桥区,1年及以下,2000元及以下,比较能够,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,一般,非常能够,比较能够,比较能够,比较能够,金融从业者,一般
181,女,山东省,济南市,历下区,1年及以下,2001-3000元,比较能够,一般,一般,比较能够,比较能够,比较能够,非常能够,一般,一般,一般,一般,一般,一般,一般,管理人员,有较强的吸引力
182,男,山东省,济南市,历城区,1年及以下,2000元及以下,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,一般,一般,非常能够,非常能够,非常能够,非常能够,技工人才,一般
183,女,上海市,上海市,虹口区,1年及以下,20000元以上,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,教育科研,不二选择
184,女,山东省,济南市,历下区,1年及以下,2000元及以下,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,非常能够,一般,非常能够,一般,非常能够,比较能够,管理人员,一般
185,男,山东省,淄博市,淄川区,1年及以下,2000元及以下,一般,一般,比较能够,非常能够,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,比较能够,比较能够,比较能够,金融从业者,不作考虑
186,男,北京市,北京市,朝阳区,1年及以下,2000元及以下,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,医疗,很不喜欢
187,女,山东省,济南市,历下区,1年及以下,2000元及以下,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,比较能够,金融从业者,有较强的吸引力
188,男,山东省,济南市,历城区,2-3年,20000元以上,不能够,一般,一般,不能够,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,教育科研,一般
189,女,山东省,济南市,历下区,1年及以下,2000元及以下,比较能够,比较能够,非常能够,比较能够,比较能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,一般,一般,比较能够,教育科研,有较强的吸引力
190,男,山东省,济南市,历下区,1年及以下,2000元及以下,一般,一般,比较能够,一般,一般,一般,不能够,不能够,一般,不能够,不能够,一般,一般,一般,其他,不作考虑
191,男,山东省,济南市,天桥区,4-5年,8001-12000元,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,一般,一般,非常能够,非常能够,比较能够,一般,教育科研,不二选择
192,男,山东省,泰安市,新泰市,10年及以上,20000元以上,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,比较能够,非常能够,比较能够,非常能够,非常能够,不能够,一般,比较能够,金融从业者,一般
193,男,辽宁省,本溪市,南芬区,2-3年,2001-3000元,比较能够,比较能够,比较能够,非常能够,非常能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,非常能够,技工人才,有较强的吸引力
194,男,山东省,枣庄市,峄城区,4-5年,5001-8000元,非常能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,医疗,很不喜欢
195,男,山西省,晋城市,阳城县,2-3年,2001-3000元,非常能够,非常能够,非常能够,一般,一般,一般,一般,比较能够,一般,比较能够,比较能够,比较能够,一般,比较能够,技术研发人才,一般
196,男,山西省,晋城市,沁水县,4-5年,8001-12000元,比较能够,非常能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,技术研发人才,有较强的吸引力
197,男,山东省,枣庄市,台儿庄区,2-3年,2001-3000元,非常能够,非常能够,比较能够,非常能够,比较能够,非常能够,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,比较能够,技术研发人才,一般
198,男,山东省,东营市,河口区,2-3年,2001-3000元,非常能够,非常能够,比较能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,销售人才,不二选择
199,女,山东省,济南市,市中区,1年及以下,2001-3000元,比较能够,一般,非常能够,比较能够,一般,比较能够,非常能够,比较能够,比较能够,一般,一般,比较能够,一般,一般,其他,有较强的吸引力
200,男,河南省,济源市,济源市,6-9年,12001-20000元,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,一般,非常能够,比较能够,比较能够,比较能够,技术研发人才,不二选择
201,女,山东省,青岛市,黄岛区,1年及以下,2000元及以下,一般,一般,一般,一般,一般,一般,不能够,不能够,一般,不能够,不能够,不能够,不能够,不能够,其他,有较强的吸引力
